"Aaron Allen"	"PO Box 19
Wekanui 5389"
"Stephen Douglas-Collis"	"4 Mears Trail
Motutangikawa 7698"
"Deborah Gibbons-Anderson"	"9 Gill-Smith Street
RD 9
Gardinerneath 5312"
"Chloe Clarke"	"52 Davies-Costello Crescent
Wekakawa 6004"
"William Rayner-Pike"	"88 Rotomanawa Avenue
RD 3
Smithborough 8450"
"Nicholas Bryant"	"Level 4
95 Scott Crescent
Smith Hill 9469"
"Kyle Hope"	"288 Whakaweka Road
Wakatangi 0349"
"Jayden Hope"	"Suite 487
1 Terekawa Lane
High Martinside 8098"
"Kylie Cook"	"3 Awawhare Street
Healymouth 8229"
"Dylan Smith"	"Unit 74
458 Horoara Close
Taitai 8410"
"Aaron Allerby"	"9 McDonald Copse
New Cunninghamtown 5565"
"Stephanie Buckley"	"635 Pukenuku Avenue
Hendersontown 5783"
"Matthew Lamb"	"7 Tangiwhitu Street
RD 8
Robsonberg 6264"
"Liam Clarke-Baxter"	"32 May Grove
Rotomanawa 0691"
"Joseph Foley"	"Level 3
87 Maunganui Close
Harrismouth 2112"
"Donna Warren"	"PO Box 62
Bryantland 6081"
"Benjamin West"	"15 Joel Keys
Allerbyside 8552"
"Matthew Harris-Webby"	"777 Michael Way
Araroto 5161"
"Emma Patchett"	"2 Walton Street
RD 4
Maungawaipo 6417"
"Lynda O'Sullivan"	"5 Millar-Harris Broadway
RD 10
Upper Gibbonsmouth 5092"
"Aaron Brown"	"8 Dalziel View
RD 10
Mokopuke 6191"
"Gordon Hoskins"	"3 Perry Highway
RD 1
Petering 9495"
"Stephen Marshall"	"8 Miller Street
Arahope 0550"
"Fiona Nelson"	"33 Waiwaka Avenue
RD 7
O'Sullivanton 2575"
"Christine Burton"	"869 Horonui Street
Awatangi 6436"
"Kate Williams"	"8 Ella Mews
Gillstone 6078"
"Katrina Bell"	"385 Carter Pass
Rangihanga 5219"
"Daniel Wells"	"PO Box 35
Arakawa 8656"
"Joshua Russell"	"PO Box 32
Lawgate 2565"
"Matthew Chandler-Gibson"	"977 Gardner Street
Russellstone 2365"
"Aaron Coleman"	"8 Awamanawawai Road
RD 10
Russell Hill 5055"
"Angela May"	"PO Box 480
Patriciamouth 6977"
"Isla Gray"	"8 Simpson-Dixon Cutting
Jensenside 5095"
"Carolyn Larsen"	"46 Adrian Arcade
RD 7
Healy Hill 6415"
"Angel Barker-Hart"	"5 Taylor Square
Bellneath 8567"
"Eden Parsons"	"93 Patchett Keys
Patchettport 5185"
"Patrick Smith-Cook"	"9 Manawatahi Beach Road
Korowhare 5018"
"Nikau Laing"	"409 Whangatoa Cove
Kennethmouth 0503"
"Joanne Rossiter"	"680 Mitchell-Wood Street
Matangaururua 7313"
"Kelly Hyde"	"PO Box 892
Rangitere 9797"
"Aaron Fuller"	"449 Roberts Place
Hansontown 6034"
"Nathan Gibson"	"Suite 763
30 Raewyn Way
Rongomanawa 5832"
"Ross Findlay"	"57 Manawawhaka Arcade
Kowhaitoa 8667"
"Nicole Carter"	"565 Jennings Street
Thomasbury 2061"
"Sonia O'Connor"	"5 Rotopotanga Street
Wekamaunga 6999"
"Tyler Mason"	"37 Mokoiti Access
Rachelburn 9083"
"Kaye Hope"	"PO Box 57
Anderson Hill 0697"
"Yvonne Evans-Currie"	"2 Horoawaroa Way
RD 1
Hartgate 9817"
"Steven Douglas"	"224 Wakawaiwhitu Terrace
Upper Grayleigh 9875"
"Barry Bailey-Dixon"	"212 Whakaara Street
Taurangi 8228"
"Aaron McCallum"	"69 Reid-Smith Copse
West Jenkinsleigh 8560"
"Richard Brown"	"37 Smith Beach Road
Taitau 2571"
"Jessica Griffiths"	"PO Box 1
Dobsontown 2431"
"Daniel Wilkinson"	"667 Ngaurumaunga Access
RD 8
Wekamokotangi 5176"
"Thomas Fitzgerald-Stace"	"Flat 35
22 Webb Square
Shailerborough 4236"
"Noah Gaskin"	"792 Ellery-Strawbridge Street
RD 4
Rotokowhai 5304"
"Michelle Claridge"	"PO Box 3
Aratapu 9889"
"Natasha Brown-Lammas"	"PO Box 116
Rangimakau 8992"
"Peter Warner"	"8 Whangakiwi Beach Road
Bothamhaven 8534"
"Sean Burgess-Wood"	"1 Tait Lane
Mokorongorangi 6226"
"Aaron McNabb"	"PO Box 596
Pickeringside 8842"
"Carolyn Barr"	"7 Shand-Cox Anchorage
Clifford Flats 8299"
"Ella O'Neill-Davies"	"549 Matakoro Parade
RD 2
Port Martining 8266"
"Mark Shaw"	"PO Box 723
Staceport 9365"
"Toni Findlay"	"Flat 68
293 Simmonds Pass
Powhenua 5287"
"Gabrielle Wall"	"PO Box 636
Kawamanawawhero 2384"
"Abigail Bowden"	"988 Wakapuke Street
Mokoawa 5876"
"Amy Smith"	"35 Dalton Place
Aaronborough 2122"
"Jonathan Christie"	"PO Box 957
McNabbing 7361"
"John Griffiths-Anderson"	"888 Tipumakau Broadway
RD 2
Waugh Hill 1411"
"Aaron Miller"	"32 Hayward Road
RD 8
Brianborough 5538"
"Bryan Wallace"	"5 Nathan Street
Tahirongoiti 9841"
"Fiona Moran-Reid"	"28 Callum Drive
Rangitangi 9520"
"Sandra Muir"	"454 Koroiti Road
RD 6
Parkerville 7843"
"Robert Waters"	"189 Manawaterewai Place
RD 10
Rodneyborough 8214"
"Ariana McIntosh"	"66 Caitlin Crossing
Korowaka 8045"
"Charlie Harris-Barnes"	"36 Currie-Ward Street
Tahimanawa 8811"
"Ria Jackson"	"38 Matatipu Avenue
Wekaterekawa 9524"
"Aaron McNabb"	"Flat 94
6 Boyd Corner
Arnoldmouth 2440"
"Emma Bird"	"911 Gardner Approach
Hortonland 5786"
"Aaron Mitchell"	"842 Ngaurutangi Avenue
RD 10
Tahirohe 5281"
"Aaron Stace"	"2 Angela Quay
Mokowhero 9066"
"Elizabeth Chapman"	"Flat 73
671 Porongo Crossing
Aaronborough 5813"
"Emma Ireland-Smith"	"PO Box 73
Tautapu 5135"
"Grant Reader"	"31 Raymond Causeway
RD 3
New Watersport 5838"
"Graeme O'Sullivan"	"217 Lee Street
Horoarawhanga 8148"
"Aaron Frost"	"PO Box 59
Pageleigh 2433"
"Hannah Bond-Perano"	"133 Horotau Crescent
RD 4
Ngauruwharenuku 2145"
"John Duncan"	"8 Taumata Close
Koromaunga 7509"
"Sophie Woolley-Arnold"	"9 Wharepukewhero Court
RD 4
Maunganui 8877"
"Aaron Rush"	"283 Taukorotahi Beach Road
RD 10
High Webbyside 2063"
"Liam Reid"	"Flat 46
2 Simmons-Jenkins Cross
Nashleigh 2053"
"Janet Coley"	"PO Box 85
Morrisonhaven 2159"
"Isaac Shepherd"	"PO Box 284
Horowakawhaka 2089"
"Robert O'Sullivan"	"2 Kawanui Alleyway
RD 9
Stephenport 2070"
"Julie North-Dawick"	"430 Tangiroto Circle
Crystalings 6475"
"Reuben Poole-Greer"	"PO Box 3
Barrland 2662"
"David Green"	"Level 6
4 Taurohe Esplanade
Awaiti 8647"
"Elizabeth Carr"	"77 Adam Place
Maungakoro 0455"
"Manaia Burgess"	"735 Hororongowhare Drive
Poarawhanga 9088"
"Abigail Marshall"	"92 Martin Mews
Averyville 2118"
"Anthony Low"	"Flat 32
632 McDonald Crest
Tipuwhangatangi 2196"
"Robert Terry-Vercoe"	"417 Hughes Point
RD 3
Koropoawa 9049"
"Paul Nicol-Linton"	"485 Tangiawakowhai Street
Gleeson Flats 5713"
"Vicki Smith"	"983 Zachary Track
Moraning 8088"
"Deborah Ellery"	"PO Box 36
Robbmouth 2275"
