"अंजली अहेरजी","599 चव्हाण
नवी मुंबई-385520"
"अभिजीत चव्हाण","8/7 जाधव
अकोला-630642"
"श्री स्वाती आगरकर","2 इशिता कदम
औरंगाबाद-112199"
"श्रीमती चेतना चव्हाण","81/708 प्रवीण जाधव
सातारा 936584"
"कोमल ओकजी","098 अनिरुद्ध भोसले
अहमदनगर 851131"
"श्रीमती अमित चौगुले","67/242 गवळी
सांगली 106070"
"श्रीमती अभिषेक साने","904 मंगेश शिरसाट
नागपूर-206726"
"श्रीमती स्वाती ओक","70/107 देशमुख
नवी मुंबई 331340"
"कुमारी अनिल गवळी","29/4902 दत्तात्रेय सावंत
सातारा-708357"
"जितेंद्र जाधव","81/6091 माने
यवतमाळ-511040"
"अंजली आगरकर","857 कांबळे
कोल्हापूर 910486"
"किरण गवळी","69/5235 शिंदे
बीड-585945"
"कुमारी दीपक कोल्हे","6/2 माधुरी सावंत
चंद्रपूर-602537"
"चेतन फडकेजी","8/1 जाधव
नागपूर-686811"
"कीर्ती फडकेजी","52/26 शिंदे
ठाणे-617004"
"कुमारी कैलास सावंत","2 शिरसाट
यवतमाळ-259526"
"अभिषेक जोशीजी","48/51 स्नेहा गायकवाड
औरंगाबाद 688587"
"गौरी कदम","32 राऊत
नागपूर 524696"
"मीनल गायकवाड","6580 कांबळे
उस्मानाबाद-837879"
"गणेश कांबळे","9 वैशाली गवळी
अमरावती-842101"
"अंजली ओकजी","348 पाटील
अमरावती 875142"
"ईश्वर देशमुख","7781 कांबळे
औरंगाबाद 185019"
"मिलिंद शिरसाट","3132 शिरसाट
अकोला 885870"
"श्रुती आगरकर","42/47 रीमा जाधव
सांगली-006930"
"जितेंद्र साळुंखे","6/0 श्रुती महाजन
पुणे 394124"
"प्रज्ञा चव्हाणजी","0 अहेर
पिंपरी-चिंचवड-648771"
"आदित्य पवारजी","37/90 साळुंखे
पुणे-160211"
"अंजली राऊत","00/10 प्रज्ञा गायकवाड
उस्मानाबाद-091595"
"स्मिता शिरसाटजी","8 जगताप
पुणे-067527"
"अनुष्का कुलकर्णीजी","0 कुलकर्णी
लातूर-070052"
"अंजली कदम","81/534 जगताप
वसई 493515"
"श्री रोहिणी जोशी","1 सुनील साळुंखे
नाशिक 634901"
"कुमारी सुरेश साळुंखे","819 अमित फडके
नाशिक-646131"
"श्री प्रिया साळुंखे","15/4136 पाटील
औरंगाबाद 247556"
"सुनील कोल्हे","22/46 प्रिया पवार
सांगली 313495"
"अनिरुद्ध देशमुखजी","38/677 दत्तात्रेय देशपांडे
पिंपरी-चिंचवड 322368"
"किरण मोरे","333 अभिषेक चव्हाण
वसई 844071"
"अमोल शिंदेजी","63/860 कोल्हे
अहमदनगर-214145"
"स्मिता शिरसाटजी","28/742 सचिन राऊत
रत्नागिरी 520134"
"श्री स्वाती ओक","89 सचिन महाजन
नाशिक 186939"
"अंजली कोल्हे","35/58 जगताप
गोंदिया-971056"
"समीर अहेर","3098 प्रज्ञा कदम
जळगाव-275576"
"माधुरी पवारजी","37/181 अभिषेक भोसले
चंद्रपूर 105024"
"कुमारी मीनल चौगुले","14/7188 कुलकर्णी
हिंगोली-856426"
"धनंजय कुलकर्णी","0154 जितेंद्र कांबळे
धुळे-082550"
"कुमारी दीपाली गायकवाड","36 साने
मिरज-036416"
"प्रवीण गायकवाडजी","1 मेघा गायकवाड
रत्नागिरी 239571"
"श्रीमती कोमल सावंत","38/153 विवेक देशमुख
चंद्रपूर-772989"
"धनंजय ठाकूरजी","2406 राऊत
यवतमाळ-100175"
"श्रीमती ईश्वर गायकवाड","62/22 अभिषेक शिरसाट
नांदेड-109633"
"अंजली कोल्हेजी","65/97 मानसी साळुंखे
मुंबई-226893"
"जितेंद्र शिंदेजी","03 कांबळे
ठाणे-520639"
"कुमारी प्रिया जोशी","8/8 माने
पिंपरी-चिंचवड-704535"
"कुमारी हर्षद पवार","6/1 देशमुख
सांगली 014815"
"अमोल साळुंखे","713 कदम
चंद्रपूर 837728"
"निखिल आगरकरजी","7/5 सुनील सावंत
लातूर 662611"
"मिलिंद सानेजी","628 आकाश जाधव
अमरावती-500072"
"आकाश कोल्हेजी","6/0 आकाश पवार
जळगाव-004618"
"कुमारी गौरी कोल्हे","96/294 धनंजय कदम
चंद्रपूर-874470"
"प्रवीण चव्हाणजी","83 कैलास राऊत
अकोला-501532"
"अंजली चौगुले","09/575 कोमल जगताप
नवी मुंबई-410140"
"श्री राहुल राऊत","1/4 हर्षद कदम
परभणी 598927"
"श्रीमती कल्पना चव्हाण","9/8 जाधव
गोंदिया 467909"
"दीपाली पाटीलजी","3 अरुण अहेर
जळगाव 622630"
"अमित पवारजी","52/5248 सुरेश साने
मिरज-509134"
"श्री स्वाती गायकवाड","8 गवळी
सांगली 720770"
"श्री राहुल ठाकूर","2341 जोशी
मिरज 010510"
"अपर्णा शिंदेजी","56 शिरसाट
पुणे 993120"
"अमोल शिंदेजी","4 कुलकर्णी
लातूर-688070"
"श्रीमती तन्वी शिंदे","2695 विनायक मोरे
परभणी 357902"
"अंजली देशपांडे","4/5 इशिता देशपांडे
नाशिक-375401"
"श्रीमती अपर्णा फडके","51/6692 साळुंखे
नवी मुंबई 207828"
"कुमारी प्रवीण अहेर","224 चौगुले
औरंगाबाद 305306"
"श्रीमती अंजली कोल्हे","81/3170 नेहा गवळी
अहमदनगर-704000"
"प्रकाश जगतापजी","60/5153 जोशी
कोल्हापूर-316260"
"गौरी महाजनजी","418 शिंदे
सातारा 127257"
"श्रीमती रीमा शिंदे","31/3621 दीपक साळुंखे
धुळे-318394"
"कुमारी शिल्पा भोसले","38/8560 अमित साळुंखे
मुंबई 973297"
"ज्योती आगरकरजी","50/2270 साने
बीड-857048"
"आकाश शिरसाट","55/8163 ठाकूर
सोलापूर 822049"
"अंजली पवार","3/2 प्रवीण पवार
यवतमाळ-991421"
"श्रुती ठाकूरजी","34/59 कीर्ती साळुंखे
मिरज 347411"
"किरण कोल्हे","6989 सुरेश महाजन
नाशिक-861250"
"पंकज कुलकर्णी","3275 अशोक राऊत
हिंगोली-969292"
"श्रीमती निलेश कोल्हे","95/154 विवेक ओक
परभणी 466707"
"श्री मंगेश चौगुले","92/071 कल्पना पवार
ठाणे 315405"
"मोहन शिंदे","9681 मिलिंद जोशी
अकोला 216311"
"अशोक मोरे","30/26 श्रुती चौगुले
यवतमाळ-509876"
"धनंजय मोरेजी","41 प्रवीण भोसले
पुणे 060802"
"हर्षदा अहेरजी","27/89 कुलकर्णी
सांगली-051200"
"अंजली भोसले","87/09 जोशी
नागपूर-878510"
"मानसी अहेरजी","5 संदीप मोरे
नवी मुंबई-751097"
"पल्लवी भोसलेजी","5718 सुरेश साने
नवी मुंबई-822216"
"लता चौगुलेजी","7 कांबळे
औरंगाबाद 685653"
"मानसी जोशी","36 विनायक ठाकूर
चंद्रपूर-649926"
"कुमारी अशोक महाजन","9/5 अनिल फडके
यवतमाळ 849288"
"प्रशांत गवळी","70 आगरकर
जळगाव 588905"
"मकरंद शिंदे","37 लता माने
नागपूर-843660"
"कोमल ओक","342 राऊत
उस्मानाबाद 074376"
"अमित ओकजी","8 देशपांडे
औरंगाबाद 334236"
"अंजली महाजन","14/713 ईश्वर जोशी
अहमदनगर-231517"
"मकरंद सानेजी","99 जितेंद्र देशपांडे
कोल्हापूर 401045"
"श्री कोमल चव्हाण","30/8548 फडके
सातारा 777917"
"दत्तात्रेय कुलकर्णीजी","3221 आदित्य कदम
नागपूर 158203"
"रेणुका गायकवाडजी","9 देशपांडे
धुळे 467572"
"श्री कीर्ती ओक","3/9 ओक
अहमदनगर-561199"
"श्री भूषण चौगुले","427 जितेंद्र गायकवाड
वसई-313803"
"प्रज्ञा शिरसाट","602 अहेर
नवी मुंबई-680030"
"विनायक कुलकर्णीजी","23/6641 कैलास माने
अमरावती 683368"
"रोहित भोसले","553 पवार
ठाणे-919209"
"अंजली साने","2/4 भोसले
मिरज 700893"
"श्रीमती उमेश पवार","3 गायकवाड
चंद्रपूर-538799"
"श्रीमती अशोक शिंदे","60/8748 रीमा पवार
मिरज 627235"
"अमोल फडके","621 अहेर
अकोला-455515"
"अपर्णा जगतापजी","68 चौगुले
सोलापूर-702116"
"गौरव अहेर","3246 जाधव
सांगली 729942"
"मंगेश भोसलेजी","5/8 निखिल शिरसाट
वसई-700562"
"सचिन गवळीजी","96 गायकवाड
बीड 332636"
"श्री मीनल पवार","6/5 स्मिता गायकवाड
नांदेड 303166"
"कुमारी अरुण अहेर","6 विवेक माने
मिरज 697721"
"अंजली सावंतजी","3/9 अपर्णा ठाकूर
यवतमाळ-582711"
"श्रीमती अंजली माने","2963 समीर भोसले
अमरावती 921459"
"पल्लवी चौगुले","81/3700 रोहिणी जोशी
अकोला-984402"
"श्रीमती पूजा गवळी","2637 शिंदे
सांगली-342114"
"कुमारी पूजा कुलकर्णी","40 जोशी
उस्मानाबाद-078705"
"अनिरुद्ध कोल्हे","5929 साने
कोल्हापूर 384047"
"शिल्पा मोरे","1 अमोल अहेर
नवी मुंबई-381741"
"सुनील चव्हाण","02/7489 राऊत
धुळे-247271"
"मोहन पवारजी","21/0776 आदित्य कांबळे
पिंपरी-चिंचवड 750036"
"कुमारी इशिता राऊत","37/47 महाजन
जळगाव-143043"
"अनिता अहेर","47 सावंत
नागपूर 028475"
"दीपाली देशपांडे","9 प्रवीण साळुंखे
यवतमाळ 409102"
"तन्वी जोशीजी","95/2570 साने
नवी मुंबई 338849"
"वैशाली सानेजी","31/98 देशपांडे
पुणे-961112"
"श्रीमती प्रज्ञा अहेर","60/374 फडके
परभणी 020062"
