"ავთანდილ აბდულაევი"|"აკურის ქ. 12, ყვარელი"
"მერაბ წულუკიძე"|"საბანისძის ქ. 26, ფოთი"
"ნორა ტურაშვილი"|"ახალარსენალის ქ. 31, დედოფლისწყარო"
"არჩილ ჩაჩუა"|"ნათაძის ქ. 25, თბილისი"
"ნარგიზა ტაკიძე"|"გულისაშვილის ქ. 96, ახალქალაქი"
"ალა ქობალია"|"პასტერის ქ. 05, წალენჯიხა"
"ზაირა მელქაძე"|"დუშეთის ქ. 35, ყვარელი"
"დარეჯან სიჭინავა"|"ჩიტაიას ქ. 00, წნორი"
"ოლია გულიაშვილი"|"ლიბანის ქ. 13, გუდაუთა"
"სონია ყურაშვილი"|"ლერწმის ქ. 16, თეთრიწყარო"
"ავთანდილ ბეჟანიშვილი"|"ვაშლოვანის ქ. 51, ხონი"
"მიხეილ გოგიჩაიშვილი"|"ხევძმარის ქ. 61, გაგრა"
"ზაქარია ქობალია"|"ზესტაფონის ქ. 27, თელავი"
"ბიძინა რუხაძე"|"გრუზინსკი პეტრეს ქ. 09, სენაკი"
"გურამ როგავა"|"პეტრიწის ქ. 74, სოხუმი"
"მინდია სეხნიაშვილი"|"ხოშარაულის ქ. 56, გუდაუთა"
"ლუიზა ფარტენაძე"|"ონის ქ. 60, გაგრა"
"შალვა კილაძე"|"აბდუშელიშვილი მალხაზის ქ. 72, გორი"
"იური სანიკიძე"|"ბოდავის ქ. 00, სოხუმი"
"ირინე შეყილაძე"|"ავლევის ქ. 37, წალკა"
"ავთანდილ დევაძე"|"ისაკიანის ქ. 29, ახალი ათონი"
"ჯულიეტა ხვედელიძე"|"ზიარის ქ. 11, მარნეული"
"გოდერძი ისაევი"|"გვაზაურის ქ. 04, ბორჯომი"
"შალვა შაინიძე"|"ვერცხლის ქ. 74, ონი"
"ვახტანგ ქათამაძე"|"ვართაგავას ქ. 44, ახალციხე"
"დარეჯან ხიზანიშვილი"|"აბესაძე გიას ქ. 91, საჩხერე"
"თემურ ცარციძე"|"ყარყარაშვილის ქ. 96, წალკა"
"სიმონ ლურსმანაშვილი"|"სვირის ქ. 63, დედოფლისწყარო"
"ნაზი ხარაიშვილი"|"ბენდელიანი ჭიჭიკოს ქ. 91, საგარეჯო"
"გოგიტა ფარტენაძე"|"ხაზინის ქ. 62, ყვარელი"
"ავთანდილ თოფურია"|"ბორბალოს ქ. 31, ცხინვალი"
"ნანული ხარაბაძე"|"ანტონ კატალიკოსის ქ. 52, კასპი"
"სერგო ვასაძე"|"გროზნოს ქ. 59, ბაღდათი"
"ემზარ ადუაშვილი"|"გოგოლაურის ქ. 60, წალენჯიხა"
"ნაირა ჭანტურიძე"|"სურგულაძის ქ. 62, ხობი"
"არმენ მეფარიშვილი"|"ანანურის ქ. 92, ჯვარი"
"ირაკლი კიკვაძე"|"ლეკიშვილის ქ. 09, ახალი ათონი"
"ელმირა ნადირაშვილი"|"მთაწმინდის ქ. 99, თერჯოლა"
"დარეჯან მახარაშვილი"|"ბეთანიის ქ. 35, ზუგდიდი"
"გოგი ანდღულაძე"|"ჰოსპიტალის ქ. 07, გალი"
"ავთანდილ კაპანაძე"|"ერწოს ქ. 87, ჯვარი"
"ნანა არაბიძე"|"ბერიკაშვილის ქ. 25, წნორი"
"მინდია პაპავა"|"ბაზალეთის ქ. 60, დუშეთი"
"მაკა ზარანდია"|"მარი ნიკოს ქ. 61, გურჯაანი"
