"Aapo Niemi","Döbelninpolku 9
54183 Närpiö"
"Jaakko Salonen","Haahkakuja 6
89477 Huittinen"
"Sinikka Lindfors","Yhteiskoulunpolku 469
86852 Kemi"
"Teemu Riikonen","Walentin Chorellin bulevardi 11
73974 Pyhtää"
"Pentti Nurmi","Iltatähdenbulevardi 733
73823 Laihia"
"Paavo Laine","Porekatu 78
30797 Kuhmoinen"
"Tapani Sirviö","Haravakuja 75
16177 Pöytyä"
"Helena Manninen-Kemppainen","Nelikkokatu 4
96351 Tampere"
"Erik Saari","Gunillankatu 263
45659 Puolanka"
"Tapani Väisänen","Jälsipolku 727
52536 Marttila"
"Aapo Nousiainen","Fahlanderin puistopolku 09
38583 Hämeenkyrö"
"Julia Eronen","Degermosanbulevardi 937
89287 Joensuu"
"Juhani Mattsson-Karvonen","Fallkullanbulevardi 356
14369 Suomussalmi"
"Timo Väänänen","Mannerheiminkatu 45
85327 Hammarland"
"Elisa Nikula","Agroksentie 77
10153 Kempele"
"Tauno Virtanen-Peltonen","Puroniitynbulevardi 200
63676 Maalahti"
"Liisa Pitkänen-Rinne","Harakkamyllynkuja 649
12868 Rantasalmi"
"Tuija Kolehmainen-Salomaa","Kilpolankuja 27
38834 Karijoki"
"Aleksi Seppälä","Agronomintie 587
17179 Laihia"
"Olavi Jääskeläinen","Jälsibulevardi 77
78488 Kärsämäki"
"Aarne Immonen-Nyberg","Yhteiskoulunkuja 5
93402 Ruokolahti"
"Tero Tolvanen","Purjetuulenkuja 78
89598 Kempele"
"Hannele Makkonen","Vesakkopolku 9
89109 Jämsä"
"Toivo Helin","Tukkisillankuja 9
59241 Ilomantsi"
"Marko Kallio","Orisaarenkuja 28
94057 Porvoo"
"Hannu Keränen","Niittylänpolku 55
80107 Muurame"
"Esteri Viitala","Kolukatu 2
52063 Askola"
"Susanna Kauppinen-Elo","Oravapolku 272
78968 Rovaniemi"
"Olavi Karhu","Wecksellinkuja 46
37024 Pyhäjärvi"
"Anja Puhakka","Orisaarenkatu 3
75177 Lappeenranta"
"Aarne Nieminen","Edelfeltinkatu 3
38060 Rautalampi"
"Heikki Tuominen","Haahkakuja 175
18165 Taivalkoski"
"Karl Haverinen","Tahtitie 47
94424 Outokumpu"
"Katri Rantanen","Ida Ekmanin bulevardi 919
06117 Lemland"
"Olavi Ollila-Makkonen","Uskalikonkuja 3
65184 Hyvinkää"
"Sirpa Voutilainen","Tuomarinkylänbulevardi 8
89140 Kouvola"
"Ville Turunen","Jälsitie 99
48532 Sonkajärvi"
"Suvi Laakso","Graniittikuja 6
14629 Parainen"
"Hannele Nuutinen","Ostostie 8
48060 Viitasaari"
"Simo Taipale","Immolantie 54
12747 Ylitornio"
"Aarne Tolvanen","Runokylänpolku 69
86062 Konnevesi"
"Emilia Väisänen","Taimistonpolku 706
20114 Kemijärvi"
"Marjaana Manninen","Purjetuulenkatu 3
56580 Valtimo"
"Jenni Eklund","Iltaruskonkuja 9
89013 Iisalmi"
"Väinö Liimatainen-Mäntylä","Werner Wirénin polku 39
50926 Pyhäjärvi"
"Mika Viitanen-Virtanen","Vaakalinnunbulevardi 776
49355 Enontekiö"
"Jorma Kuusela","Poikasaartenkuja 512
53592 Juupajoki"
"Kirsti Mäkinen","Eljaksenkuja 84
31470 Ii"
"Anneli Rönkkö","Nordenskiöldinpolku 672
09847 Haapajärvi"
"Tapio Pekkarinen","Maapadonkatu 15
92645 Kauniainen"
"Aaro Eskola","Katajaharjunbulevardi 63
21750 Kajaani"
"Anni Niemi","Kuhankeittäjäntie 154
49829 Inari"
"Teija Koski-Niemelä","Lemunbulevardi 0
20945 Riihimäki"
"Aimo Tarvainen","Castrénintie 340
08098 Valkeakoski"
"Julia Koivula","Vesakkobulevardi 364
42668 Kalajoki"
"Elisabeth Kinnunen","Iltaruskonbulevardi 04
68581 Taipalsaari"
"Nina Koponen-Meriläinen","Benktantie 76
48947 Liminka"
"Sinikka Nyman","Gneissitie 01
09481 Rautalampi"
"Tapani Laine","Saramäentie 99
66100 Sodankylä"
"Ensio Kaikkonen","Iltaruskonkuja 618
42759 Sotkamo"
"Aaron Kemppainen","Agnetantie 45
16325 Muonio"
"Maria Räsänen","Agnes Sjöbergin polku 6
51780 Rautavaara"
"Maria Koivisto","Maatie 494
24403 Karvia"
"Ritva Ahonen","Nils Westermarckin katu 850
93028 Finström"
"Anja Heikkilä","Winqvistinkatu 43
69965 Pöytyä"
"Mikael Heikkilä","Cygnaeuksentie 449
47174 Maalahti"
"Markku Niemi","Runoilijankatu 092
41158 Koski Tl"
"Taisto Lindström","Werner Wirénin bulevardi 4
53682 Sastamala"
"Eetu Saarinen","Lautamiehenkatu 68
33807 Jämsä"
"Santeri Mikkola","Yläkaskenkatu 3
63847 Maalahti"
"Aaron Keskinen","Böstaksenbulevardi 650
93832 Mustasaari"
"Mirja Koponen-Karjalainen","Uunilinnuntie 9
18988 Kouvola"
"Ilona Tervo","Puroniityntie 82
06717 Oulainen"
"Vesa Lehtonen","Sahaajankuja 1
65747 Laukaa"
"Aimo Pesonen","Caloniuksenkatu 31
34995 Koski Tl"
"Johannes Tikkanen","Rapakivenpolku 89
88280 Salla"
"Petri Nieminen-Kolehmainen","Jännebulevardi 45
02347 Rääkkylä"
"Marjatta Suhonen","Orisaarentie 50
50625 Lempäälä"
"Riku Rantanen","Niitynperänkuja 635
25891 Nivala"
"Margit Lappalainen","Ida Ekmanin polku 32
46662 Virolahti"
"Aaron Linna","Haakoninlahdenbulevardi 65
07956 Oripää"
"Antti Erkkilä","Böstaksentie 533
25635 Isokyrö"
