"Albina Dolić"	"Mesnička 8c
01290 Šibenik"
"Vera Kraljić"	"Pantovčak 47
45413 Ilok"
"Marijan Vukobratović"	"Pantovčak 6
20051 Sveta Nedelja"
"Zora Sikirić"	"Šilobodov put 1b/6
04447 Ludbreg"
"Anica Jemrić"	"Dolac 4a
95196 Kutjevo"
"Đurđica Petek"	"Tuškanac 993
89112 Novalja"
"Anton Perčić"	"Petrova 6a/8
87201 Pula"
"Joško Stiperski"	"Jurišićeva 10
60104 Skradin"
"Mladen Halambek"	"Kamenita 2b/1
37302 Delnice"
"Goran Bošnjaković"	"Radnički dol 014
34203 Kastav"
"Albina Hodak"	"Rockefellerova 5a
48036 Kaštela"
"Pavao Križan"	"Skalinska 9c
40355 Zagreb"
"Valentina Škrnički"	"Krležin gvozd 53
23243 Zaprešić"
"Zdravko Hrvojić"	"Lisinskoga 4c
86481 Karlovac"
"Jasna Stojčević"	"Vrazovo šetalište 8c
28774 Orahovica"
"Kate Jovanovac"	"Slavujevac 6a
28593 Duga Resa"
"Ane Viljevac"	"Kapucinske 2
96568 Osijek"
"Vedran Ivančan"	"Klenovac 1c
64396 Rijeka"
"Kata Bošnjak"	"Krvavi most 6
80594 Prelog"
"Slavica Dujmović"	"Petrova 0
21366 Donji Miholjac"
"Albina Jukić"	"Kapucinske 880
73101 Krapina"
"Zoran Čop"	"Zelenjak 6b
38856 Velika Gorica"
"Milka Butković"	"Kamaufova 3c
56864 Drniš"
"Miroslav Mikulec"	"Skalinska 8b/8
84875 Novigrad"
"Renata Mamić"	"Šestinski vijenac 7
60239 Bakar"
"Joško Bojanić"	"Ksaver 0
19026 Virovitica"
"Tea Klarić"	"Cmrok 63
16142 Dugo Selo"
"Barbara Blažek"	"Lisinskoga 7a
02046 Kutjevo"
"Ivanka Golubić"	"Pantovčak 2
31247 Krapina"
"Šime Kukučka"	"Magdićeve 170
84813 Nova Gradiška"
"Albina Ljubić"	"Dverce 6c/1
84732 Orahovica"
"Bruno Sardelić"	"Srebrnjak 5a/3
82811 Zlatar"
"Nikolina Soldo"	"Opatička 3
96946 Zagreb"
"Tea Pamić"	"Slavujevac 4c/3
43726 Ploče"
"Kristina Žeželić"	"Perivoj biskupa Stjepana II. 7a/2
66810 Vrbovec"
"Zoran Barbir"	"Mala 4c
54813 Vis"
"Ika Šoštarić"	"Kraljevečki ogranak 780
54919 Belišće"
"Mia Valentić"	"Kraljevečki odvojak 4b
94492 Glina"
"Dalibor Cvetnić"	"Vijenac 9c
33256 Donji Miholjac"
"Bara Rubeša"	"Mlinovi 8c/6
14093 Vukovar"
"Albina Pavičić"	"Šilobodov put 5c
03009 Trogir"
"Mara Oršolić"	"Medvedgradska 8b/5
00852 Crikvenica"
"Jozo Stolnik"	"Šestinski vijenac 86
61269 Valpovo"
"Lea Kevo"	"Mašekova 1a
70594 Imotski"
"Maja Maraš"	"Bučarova 6b/2
49792 Makarska"
"Zorka Krpan"	"Gradec 4a/5
05943 Metković"
"Lea Čulina"	"Perivoj srpanjskih žrtava 5c/5
36463 Petrinja"
"Veronika Medić"	"Višnjičke 9a/6
55976 Slatina"
"Ivana Načinović"	"Kamenita 7a/4
08499 Umag"
"Dragan Cafuk"	"Srebrnjak 49
13855 Poreč"
"Albina Solomun"	"Remetska 9b
82322 Ludbreg"
"Valter Bašnec"	"Opatovina 981
55697 Kutjevo"
"Jana Perak"	"Horvatovac 762
52332 Pleternica"
"Tomo Dragojević"	"Demetrova 5c
89009 Koprivnica"
"Mato Guberović"	"Kamaufova 2
76621 Grubišno Polje"
"Željka Antolković"	"Davor 9
91917 Mursko Središće"
"Ivo Kolega"	"Kaptol 9a/8
82814 Grubišno Polje"
"Slavica Lukinić"	"Javorovac 89
66727 Slunj"
"Ljiljana Legović"	"Kurelčeva 059
44031 Daruvar"
"Mate Matulin"	"Bučarova 26
31814 Ozalj"
"Aldo Cafuk"	"Kapucinske 0a
39141 Poreč"
"Biljana Salopek"	"Zeleni dol 1c
64045 Rovinj"
"Duje Žunec"	"Zelengaj 9b
68998 Donja Stubica"
"Slavica Popović"	"Čačkovićeva 0c
49028 Rijeka"
"Valter Brajković"	"Jadranska 5c
92511 Grubišno Polje"
"Petar Nižetić"	"Remetska 7a/6
20041 Đurđevac"
"Vera Marković"	"Tkalčićeva 8
64727 Vrlika"
"Dragan Dolić"	"Klanac Grgura Tepečića 5a
74377 Pazin"
"Bruno Sorić"	"Zamenhofove 23
74811 Zagreb"
"Biljana Milatić"	"Jurjevska 7a/0
43105 Velika Gorica"
"Aldo Ljubetić"	"Splavnica 352
91042 Vinkovci"
"Lovro Petek"	"Radnički dol 6a/9
46642 Bjelovar"
"Nevenka Radolović"	"Rokova 2b
79167 Zabok"
"David Poropat"	"Šestinski vijenac 5b
16116 Opuzen"
"Jasna Kuščević"	"Naumovac 6c
66607 Ploče"
"Katica Šestak"	"Rokova 88
23570 Ivanec"
"Petar Preočanin"	"Svibovac 1b
65041 Popovača"
"Katica Botica"	"Rockefellerova 9b/1
12893 Crikvenica"
"Alen Milas"	"Gupčeva zvijezda 213
10984 Klanjec"
"Snježana Puharić"	"Davor 5b
30931 Sveta Nedelja"
"Aldo Makovac"	"Voćarsko naselje 707
31925 Umag"
"Mislav Štimac"	"Goljak 9c/6
59271 Umag"
"Kristijan Borojević"	"Streljačka 2c
92820 Donja Stubica"
"Josipa Vojković"	"Jezuitski trg 37
87928 Opatija"
"Kata Majdenić"	"Vrazovo šetalište 5c/5
61912 Novalja"
"Štefanija Matulin"	"Bosanska 3c/3
66944 Belišće"
"Nikolina Milotić"	"Klanac Grgura Tepečića 6b
38636 Petrinja"
"Hana Petrović"	"Jurjevska 0b/5
59448 Krk"
"Katarina Prelec"	"Dvoranski prečac 4c/3
49291 Vrbovsko"
"Marica Stipanović"	"Jezuitski trg 6b
82572 Osijek"
"Aldo Radinović"	"Rokova 2a
24638 Nin"
"Gordana Antić"	"Podgaj 554
67495 Vrbovsko"
"Marica Ignac"	"Ksaverska 03
46980 Sveti Ivan Zelina"
"Mario Šošić"	"Višnjičke 9a/9
71802 Zadar"
"Kristijan Knežević"	"Kamaufova 1
97158 Lepoglava"
"Karlo Jagarinec"	"Rockefellerova 5b
96537 Poreč"
"Dominik Štefović"	"Vončinina 7
37347 Dubrovnik"
"Dino Jovanović"	"Kamenjak 9a
38543 Trogir"
"Mirko Semialjac"	"Vončinina 3c/6
81340 Rovinj"
"Milica Mihaljević"	"Krvavi most 18
46096 Virovitica"
"Aldo Rastija"	"Golubovac 7a
58390 Pazin"
"Sara Poslon"	"Paunovac 6b/6
53087 Drniš"
"Slavica Križan"	"Paunovac 3b
17983 Zabok"
"Rozalija Rumora"	"Tkalčićeva 0c
96749 Rijeka"
"Jakov Ričko"	"Gornje Prekrižje 7
77184 Poreč"
"Anica Nimac"	"Medvedgradska 9c
87813 Bakar"
"Vera Vincetić"	"Kamenjak 5
13797 Karlovac"
"Maria Matovina"	"Mlinarska 4b
69546 Rovinj"
"Rudolf Putinja"	"Perivoj biskupa Stjepana II. 2a/2
42746 Đurđevac"
"Nikola Lukinić"	"Šalata 6b
74363 Lipik"
"Aldo Rašeta"	"Hercegovačka 5b/1
35041 Mali Lošinj"
"Anđa Šturlan"	"Lobmayerove 247
82324 Ludbreg"
"Maja Forjan"	"Mihaljevac 6b
84867 Zlatar"
"Nikša Birtić"	"Ljubinkovac 7c/4
67984 Cres"
"Dragutin Boban"	"Golubovac 8c/7
99230 Vinkovci"
"Anđela Petrović"	"Tuškanac 2
59816 Trogir"
"Andrija Škara"	"Vijenac 8
68875 Pag"
"Petar Prpić"	"Vijenac 1a/1
03603 Kutjevo"
"Terezija Požega"	"Golubovac 71
24590 Sisak"
"Dragutin Poropat"	"Medvedgradska 9a/5
30436 Donji Miholjac"
"Aldo Ušić"	"Bakačeva 2
15655 Zagreb"
"Milan Kovačić"	"Mlinske 6c/3
10421 Novi Vinodolski"
"Dominik Barnaba"	"Klenovac 1b/6
66265 Orahovica"
"Biljana Buljan"	"Palmotićeva 7c/7
94445 Skradin"
"Patrik Vlašić"	"Zamenhofova 996
50488 Opatija"
"Ivana Marasović"	"Palmotićeva 1c
51493 Vukovar"
"Antonio Babić"	"Mašekova 3b
74780 Korčula"
"Zora Matošević"	"Wickerhauserova 0b
63083 Zlatar"
"Milan Kaniški"	"Draškovićeva 7a/4
23838 Ivanić-Grad"
"Josipa Sokić"	"Šumski prečac 2c
60725 Labin"
"Alen Banko"	"Dvoranski prečac 2c/7
94456 Belišće"
"Sanja Žiković"	"Srebrnjak 0c/6
22271 Buje"
"Pavao Banko"	"Arnoldova 9c
60566 Požega"
"Martina Benić"	"Kapucinske 023
19817 Metković"
"Saša Pongrac"	"Kamenita 627
18913 Kutina"
"Petar Glavan"	"Pantovčak 1a/9
77746 Biograd na Moru"
"Katarina Turčinov"	"Voćarsko naselje 5a
74229 Varaždinske Toplice"
"Eva Miklečić"	"Mlinarska 6
59128 Cres"
"Milan Guberović"	"Novi Goljak 4c
71737 Gospić"
"Jadranka Fabijanić"	"Ribnjak 107
02233 Velika Gorica"
"Alen Borošak"	"Pod zidom 970
24830 Ivanić-Grad"
"Aldo Rogošić"	"Kraljevečki ogranak 57
00959 Đakovo"
"Martina Jasprica"	"Jurjeve 7c/6
76562 Dubrovnik"
"Marijan Mišković"	"Splavnica 2c
92447 Slunj"
"Marina Trbović"	"Rockefellerova 8c
15540 Ploče"
"Božo Sorić"	"Naumovac 5c/6
69556 Nin"
"Sara Štefović"	"Višnjičke 0a/4
49621 Kastav"
"Ana Brcko"	"Goljak 037
70683 Zagreb"
"Erik Knežević"	"Nova Ves 7b
37673 Skradin"
"Lidija Brcko"	"Voćarska 9
63974 Kutina"
"Alen Forjan"	"Novi Goljak 647
59109 Bjelovar"
"Antonio Bučanac"	"Bakačeva 6b/2
62576 Ivanić-Grad"
"Ružica Bebić"	"Kraljevečki odvojak 7c
51340 Krk"
"Stana Šturlan"	"Istarska 7b/4
99043 Virovitica"
"Stjepan Lukšić"	"Ilica 78
90001 Zaprešić"
"Luka Štrbac"	"Javorovac 49
79631 Split"
"Slavko Nakić"	"Bosanska 595
53338 Slavonski Brod"
"Patrik Žužić"	"Ksaver 3b/4
78330 Sinj"
"Mario Radošević"	"Lisinskoga 9c/4
23282 Vrgorac"
"Danijela Kovačević"	"Paunovac 646
45724 Belišće"
"Alen Jurković"	"Mlinarska 5a/4
15536 Daruvar"
"Ante Šelendić"	"Skalinska 4
68891 Varaždinske Toplice"
"Mara Novak"	"Kapucinske 2c/2
93397 Pula"
"Saša Šimičić"	"Kožarska 4a
01684 Bakar"
"Suzana Prpić"	"Klesarski put 9b/4
97640 Poreč"
"Denis Urlić"	"Zamenhofova 3a/6
26006 Zadar"
"Zorka Jerković"	"Draškovićeva 0c
42186 Beli Manastir"
"Nika Radović"	"Zamenhofova 1
76559 Trogir"
"Milica Cik"	"Perivoj biskupa Stjepana II. 92
89512 Kastav"
"Nina Carić"	"Višnjica 3b/7
56166 Ogulin"
"Alen Medić"	"Radnički dol 3c/0
37865 Novalja"
"Dino Kovač"	"Mlinske 2c/9
38908 Vrlika"
"Nikolina Karlović"	"Wickerhauserova 5c
97740 Supetar"
"Alen Lasić"	"Horvatovac 0b
34384 Ozalj"
"Dario Sošić"	"Jadranska 10
90673 Kastav"
"Nikola Kopjar"	"Mirogojska 6
72709 Umag"
"Dragutin Poropat"	"Rikardove 8b
72586 Gospić"
"Marijan Čizmić"	"Zamenhofove 1b/7
18708 Varaždinske Toplice"
"Zdravko Matahlija"	"Višnjičke 7a/7
25829 Vodnjan"
"Marijan Štefanec"	"Mlinarska 2b
17246 Nin"
"Alen Obratov"	"Krvavi most 1b/5
11136 Šibenik"
"Nina Crevar"	"Lisinskoga 61
33360 Vrgorac"
"Albina Jozić"	"Višnjičke 8c/8
54288 Crikvenica"
"Nada Meić"	"Zmajevac 0b
70620 Pleternica"
"Boris Lenić"	"Magdićeve 92
61771 Hrvatska Kostajnica"
"Mato Vrhovec"	"Klesarski put 4c/5
99392 Zabok"
"Dragan Dražić"	"Splavnica 94
55260 Novska"
"Romano Peroš"	"Kraljevečki odvojak 4c
88424 Supetar"
"Matea Kinkela"	"Mašekova 9
36739 Ozalj"
"Željka Totić"	"Istarska 0
00476 Umag"
"Ana Legović"	"Bučarova 1c
19693 Supetar"
"Janko Kocijančić"	"Remetska 5a/6
39754 Donji Miholjac"
"Martina Radolović"	"Bučarova 60
02186 Buje"
"Igor Gracin"	"Vlaška 2b
12549 Pleternica"
"David Volarević"	"Streljačka 5a
72335 Trogir"
"Jadranka Mimica"	"Klenovac 7c
46525 Zaprešić"
"Albina Brcko"	"Višnjičke 3b
06217 Opatija"
"Mato Radošević"	"Jezuitski trg 14
06246 Slavonski Brod"
"Patrik Požega"	"Kraljevečki odvojak 0c/0
33063 Supetar"
"Ankica Mamula"	"Radnički dol 0
35965 Stari Grad"
"Ana Maras"	"Cmrok 5b/1
87878 Biograd na Moru"
