"Άγγελος Βουτσελας","Ναούμ 22,
ΤΚ 25983 Λαμία"
"Αφροδίτη Μαρτζούκου","Κρόκου 27-09,
61327 Αλεξανδρούπολη"
"Ήβη-Κυβέλη Μαρτιάδου","Αγίας Ελένης 0,
47083 Κομοτηνή"
"Τρύφων-Ορφέας Σπηλιώτης","Τήνου 9,
549 01 Σάμος"
"Νεοκλής Τσαπραλής","Χορηγού 68,
ΤΚ 63255 Καβάλα"
"Νίκος Κατεβάτης","Πάρ. Αγίου Πολυκάρπου 02,
502 04 Καρδίτσα"
"Σολομών-Ασημάκης Ράλλης","Πάροδος Χρυσοβίτσας 01,
902 70 Ερμούπολη"
"Κομνηνός Κουλίζος","Βερενίκης 10-50,
ΤΚ 196 10 Κομοτηνή"
"Τριαντάφυλλος-Παναγής Κουτσικόπουλος","Καλουσίου 52-92,
66310 Λάρισα"
"Πολύβια Αναστασάκη","Ρειχέας 5,
67691 Λευκάδα"
"Άγγελος Μπλανάς","Σόφρα 806,
977 51 Σπάρτη"
"Νερατζιά Τσούρα","Μεσημερίου 683-154,
ΤΚ 84146 Λευκάδα"
"Τίμων Ματσούκας","Εξανθείας 5,
ΤΚ 387 38 Δράμα"
"Λάσκαρης Χατζησαββίδης","Γρηγοροπούλου 1,
ΤΚ 01208 Ρέθυμνο"
"Δίκαιος Ασημακόπουλος","Πάροδος Γδοχίων 57-27,
ΤΚ 842 06 Θεσσαλονίκη"
"Νίκων Χρυσικός","Πάροδος Καρυοβουνίου 6,
68873 Μεσολόγγι"
"Φιλίππα Κόλλια","Μανολιοπούλου 266,
429 78 Έδεσσα"
"Εμμανουήλ Γιατρομανωλάκης","Αγραφιώτη 611-958,
ΤΚ 31451 Ρέθυμνο"
"Στεργιανή Μυλωνίδου","Γρεβενιτίου 99,
ΤΚ 43666 Μυτιλήνη"
"Αναγνώστης Καρατζίκος","Βαλσαμίδου 369,
ΤΚ 31894 Λευκάδα"
"Άλκηστις Κουτσουρέλη","Επιδαύρου 818,
ΤΚ 549 31 Πύργος"
"Εφραίμ Σαμαράς","Μηλοχωρίου 48-14,
ΤΚ 69939 Κομοτηνή"
"Ουρανία Μυτάρη","Υστερνίων 757,
608 93 Ζάκυνθος"
"Αριστομένης Κακαβός","Καλαϊτζοπούλου 44,
69446 Αθήνα"
"Λουκιανός Καστάνης","Δαφνιά 37,
ΤΚ 787 97 Ηράκλειο"
"Αριστόβουλος Ανδρικόπουλος","Παπακώστα 706,
668 82 Πολύγυρος"
"Αιμιλία Ανεζάκη","Λεωφόρος Γέρμα 85,
02268 Σέρρες"
"Αθηνά-Φοίβη Κετεσίδου","Τουρνά 662-781,
48608 Χαλκίδα"
"Αριστόβουλος Κυπραίος","Λιβαδερού 32,
ΤΚ 023 80 Καρδίτσα"
"Φαίδρα Αλεξανδράκη","Κομοτηνής 2,
45448 Κατερίνη"
"Άλκηστις Μάντου","Λιναρδάκη 54,
42950 Καλαμάτα"
"Δομήνικος Δανελής","Κέλλης 31,
ΤΚ 579 68 Μυτιλήνη"
"Βρασίδας Ρήνος","Πάροδος Περιθωρίου 84,
625 62 Άρτα"
"Αηδόνα Μηνά","Κορυσχάδων 8,
ΤΚ 30413 Αθήνα"
"Κυπαρισσία Χαλκίδου","Τσαμοπούλου 4,
902 15 Λάρισα"
"Αλκινόη-Πηγή Μαγούλα","Μιλέα 2,
713 16 Φλώρινα"
"Ζαχαρίας Τυράλης","Ασφενδιού 633,
38320 Λιβαδιά"
"Ιουλία Νατσουλή","Πλατεία Λακκωμάτων 92,
73457 Λευκάδα"
"Θεοφανία Καρανάνου","Κεφαλοβρύσου 1,
ΤΚ 64480 Καστοριά"
"Νεόκλεια Μπούζα","Σκεπαστής 600-993,
48582 Γρεβενά"
"Άλκηστις Στυλιανίδου","Λεωφόρος Λουτροτόπου 93,
12968 Καβάλα"
"Ιάσονας Τζήκας","Λεωφ. Χρυσομηλέας 5,
ΤΚ 22123 Χίος"
"Λουδοβίκος Τολούδης","Κούτελης 020-959,
ΤΚ 283 31 Χανιά"
"Θεόδωρος Γκαλίου","Κοκκινοπηλού 17-82,
65198 Κόρινθος"
"Στέργιος Χατζησάββας","Λεκάνης 15,
ΤΚ 788 76 Χαλκίδα"
"Μακρίνα Μπεκάκου","Καλλιμασιάς 30,
178 09 Θεσσαλονίκη"
"Μένανδρος Γιαννακουδάκης","Σμύρνης 64,
ΤΚ 18874 Ηγουμενίτσα"
"Μαρίνα Τσαντίδου","Λεωφόρος Μεταξάτων 47,
786 63 Βόλος"
"Ασημάκης Κουρσουμίδης","Ασωμάτου 72,
90633 Ερμούπολη"
"Χριστόφιλη Τσαμτσούρη","Δυρραχίου 17,
949 43 Ηγουμενίτσα"
"Άννα Γκούνη","Λαγού 466-513,
89323 Φλώρινα"
"Ίων Κούρτης","Ζηλευτής 56,
ΤΚ 431 86 Καστοριά"
"Διδώ Λιάνου","Καραγιάννη 4,
ΤΚ 414 55 Καστοριά"
"Τριαντάφυλλη Ρωμαίου","Λεωφ. Αργολικού 94,
ΤΚ 750 64 Κιλκίς"
"Ευανθία Δάφνη","Όχθιας 2,
36573 Καρπενήσι"
"Παράσχος Ζορμπάς","Βαμβακούσσης 41-36,
ΤΚ 648 12 Χανιά"
"Λουλουδένια Παπαδοπούλου","Βολιμών 14,
99301 Σάμος"
"Ζηνοβία-Καλλιρρόη Κοκκίνου","Αργίλου 190-301,
ΤΚ 582 31 Καρπενήσι"
"Αγάπη Θασίτου","Γρεβενών 64,
07378 Κομοτηνή"
"Νικόλαος Βαλαβάνης","Ραψάνης 034,
ΤΚ 558 85 Κέρκυρα"
"Άννα Μπύρου","Πλατεία Παλαιομανίνας 2,
ΤΚ 18526 Έδεσσα"
"Ανδρονίκη Παπατζήκα","Πάρ. Μυρωνίων 39,
747 71 Ηράκλειο"
"Αντιγόνη Αβραμπέκη","Ξηροτύρη 34-26,
ΤΚ 13602 Κατερίνη"
"Κανέλλα Μπούζα","Χαντζή 48,
436 21 Τρίπολη"
"Αναξαγόρας Γκικόπουλος","Πλ. Μυρίνης 41,
89084 Αθήνα"
"Ασκληπιός Κλήμης","Λαλιώτου 404-450,
083 03 Αθήνα"
"Ξανθίππη Πουλιάση","Στομίου 97,
ΤΚ 241 61 Καρδίτσα"
"Πολύβιος Τσότρας","Αραχναίου 227,
21953 Καρδίτσα"
"Δίκαιος Φωτογλίδης","Πάρ. Καλαμαρά 9,
886 78 Κατερίνη"
"Κομνηνός-Δαμιανός Σπαθόπουλος","Μιχαλάρου 754,
ΤΚ 78489 Ιωάννινα"
"Άρης Πιάγκος","Πλατεία Βοθιανών 278-641,
829 86 Ιωάννινα"
"Γαβριήλ-Τίτος Τσιαντάς","Πάροδος Πατσού 99,
ΤΚ 80423 Ρόδος"
"Αδάμ Μιχαλέλλης","Βραστάμων 57,
ΤΚ 509 34 Λιβαδιά"
"Συμέλα-Χλόη Κονσούλα","Λεωφ. Φουρφουρά 42,
89489 Αργοστόλι"
"Βλασία-Σουλτάνα Μιχαηλίδου","Λεωφ. Πέρκου 159,
ΤΚ 340 93 Βόλος"
"Μαγδαληνή Δρόσου","Πραμάντων 8,
ΤΚ 18448 Θεσσαλονίκη"
"Κάρολος Δημησκής","Πλατεία Μελίσσα 49,
75102 Ξάνθη"
"Νικόλαος-Εμμανουήλ Αργυρής","Σκοτάνης 384,
29723 Κατερίνη"
"Περικλεία Αρματά","Πιάνας 092-030,
ΤΚ 349 79 Άμφισσα"
"Τίτος Κιοσές","Πολίτου 7,
382 98 Μυτιλήνη"
"Άρης Σεβδάς","Αγοράς 3,
ΤΚ 971 65 Βέροια"
"Πολύβιος Ασημόπουλος","Δαματρίας 28,
53701 Βέροια"
"Μαρωτέσα-Ηλέκτρα Γαβριηλίδη","Πάροδος Σκύδρας 7,
968 26 Φλώρινα"
"Θεόφραστος Αλεξόπουλος","Αγίου 98,
89639 Κόρινθος"
"Βαρθολομαίος Χατζηκύρκος","Πλώρας 96-93,
00632 Καστοριά"
"Άνθιμος Παντζαρτζίδης","Τσικρίκα 03,
764 83 Πολύγυρος"
"Μελπομένη Κοντογιάννη","Καταλαγαρίου 7,
823 32 Ηράκλειο"
"Ευγενία Παπουτσοπούλου","Ελάφου 47-37,
63451 Καρδίτσα"
"Θεοφίλη Βαρθαλίτη","Μανταμάδου 90,
86214 Πάτρα"
"Γιάννης Κιουπλιώτης","Μεσιανής 70-71,
53735 Αργοστόλι"
"Άριστος Νανούρης","Απλαδιανών 07,
70527 Βόλος"
