"Abelone Dahl","Stenløsevej 856
8842 Roskilde"
"Ron Kristoffersen","Masnedøgade 66
8671 Skævinge"
"Elisabeth Lind","Wagnersvej 610
5798 Fårvang"
"Fru Berit Kristensen","Arkonastræde 919
9681 Bælum"
"Fru Cirkeline Nørgaard","Halfdansvej 3
6232 Varde"
"Regitse Petersen","Nikolajstræde 44
9301 Føllenslev"
"Tejs Olesen","Bisiddervej 230
4316 Aars"
"Andrea Mathiesen","Vestermarksvej 70
7853 Brædstrup"
"Bettina Kristiansen","Augustagade 1
5809 Melby"
"Prof. Irma Mogensen","Viborggade 148
3596 Hejls"
"Abelone Schultz","Hveensgade 17
2743 Ølsted"
"Cecilie Thorsen","Byglandsvej 73
8591 Billum"
"Karlo Mathiesen","Risagervej 11
4989 Glejbjerg"
"Verner Søndergaard","Torve Allé 636
7454 Maribo"
"Univ.Prof. Gunnar Nørgaard","Skovbogårdsvej 840
4842 Morud"
"Maya Lund","Egelykkegade 869
5344 Videbæk"
"Univ.Prof. Bente Bruun","Clausholmvej 14
3918 Asnæs"
"Kirstine Madsen-Jakobsen","Amalie Skrams Allé 58
1624 Hornsyld"
"Justina Danielsen","Bellidagade 62
7553 Ørsted"
"Joakim Nørgaard","Grøndalsvænge Allé 46
4124 Karlslunde"
"Adam Frandsen-Schmidt","Jorisgade 13
4789 Thyholm"
"Univ.Prof. Sofie Lind","Rodosgade 22
4248 Karby"
"Dr. Johnny Kjeldsen","Møllestræde 778
3112 Horbelev"
"Maja Lassen","Speditørstræde 95
5949 Vissenbjerg"
"Kirsten Søndergaard","Sankt Jørgensvej 26
2518 Sønderborg"
"Ib Lauritsen","Clematisvej 7
6009 Tommerup"
"Ron Andresen","Bisidderstræde 34
7333 Skamby"
"Pernille Eriksen","Søndervangsvej 987
3995 Tjæreborg"
"Jano Møller","Florasgade 24
3552 Bolderslev"
"Dr. Ane Nissen","Bissens Allé 158
5867 Tistrup"
"Agnes Andreasen","Gimlesgade 3
7927 Jystrup"
"Univ.Prof. Herbert Jespersen","Beatevej 600
3031 Mørkøv"
"Prof. Stephan Thomsen","Trekløvergade 780
8239 Dybvad"
"Margit Bertelsen","Spanteloftgade 91
4847 Ringsted"
"Hr Mikael Rasmussen","Ewaldsgade 3
9483 Bjert"
"Ole Andresen","Billedvej 19
6407 Løgstør"
"Univ.Prof. Kenn Jepsen","Soltofte Allé 17
3993 Frederikssund"
"Hr Boris Olsen","Aarestrupsvej 3
9572 Bække"
"Maiken Johansen","Langøvej 256
1234 Gedsted"
"Rita Lassen","Syvstensgade 51
8923 Malling"
"Agnes Mikkelsen","Brohus Allé 4
7425 Nimtofte"
"Sten Johansen","Basnæsgade 574
6298 Martofte"
"Herman Jensen","Brønshøjholmsvej 32
9739 Støvring"
"Abelone Jørgensen","Bilbaovej 45
9895 Fårvang"
"Torben Jeppesen","Hambrosvej 5
9181 Vrå"
"Dr. Bente Dahl","Sixtusgade 9
5154 Gesten"
"Odeline Kristiansen","Kaliforniensvej 973
2510 Terndrup"
"Karla Petersen","Istanbul Allé 362
4048 Gislinge"
"Karl Schultz","Gråbynkevej 564
1974 Veksø Sjælland"
"Clavs Østergaard","Tordenskjolds Allé 96
2494 Holsted"
"Agnes Østergaard","Rødkløver Allé 846
9439 Frørup"
"Prof. Øystein Andersen","Pomonavej 8
6372 Klampenborg"
"Emily Krogh-Friis","Pakkerivej 646
5540 Hanstholm"
"Ebbe Vestergaard","Farver Allé 5
3993 Kvistgård"
"Sonja Knudsen","Ålholmstræde 907
3436 Stenderup"
"Herdis Jørgensen","Armeniens Allé 491
6480 Hårlev"
"Philip Thomsen","Lønborgstræde 54
3885 Gislev"
"Univ.Prof. Steven Olsen","Lykkebogade 353
7580 Skårup"
"Fru Maria Christiansen","Nørre Farimagsgade 1
8169 Faaborg"
"Univ.Prof. Noah Hermansen","Nørre Farimagsvej 206
1960 Hundslund"
"Agnete Berg","Regitsevej 9
2697 Brenderup"
"Klara Andresen-Laursen","Gammel Kongevej 809
8561 Almind"
"Frode Mikkelsen","Sundby Parkvej 1
6845 Aalborg"
"Thomas Skov-Mogensen","Kentiagade 626
4655 Faaborg"
"Anton Christiansen","Stenosgade 45
2429 Ballerup"
"Zehnia Madsen","Rosbæksstræde 856
2030 Nykøbing F"
"Dr. John Kristensen","Mandelvej 258
4800 Aakirkeby"
"Yan Brandt-Andersen","Ystad Allé 242
1649 Gandrup"
"Dr. Frode Paulsen","Byagervej 2
9770 Ulfborg"
"Maja Petersen","Klerkestræde 6
7504 Hovedgård"
"Agnete Larsen-Bach","Mag Allé 97
4732 Lynge"
"Fru Julie Karlsen","Isafjords Allé 93
1268 Grevinge"
"Dr. Ragner Henriksen","Berggreensstræde 405
3792 Fejø"
"Henriette Schou","Leifs Allé 808
3396 Uldum"
"Dr. Abelone Holm","Hornemansvej 73
9483 Øster Assels"
"Univ.Prof. Sandra Johansen","Slusevej 5
8619 Rude"
"Nikolai Madsen-Kristensen","Heldbogade 85
2772 Læsø"
"Natasja Bech-Overgaard","Postholderstræde 5
1562 Kværndrup"
"Anton Poulsen","Stenvej 5
2399 Tilst"
"Sofie Mortensen","Slagelsevej 25
7244 Karlslunde"
"Aksel Clausen-Kristensen","Guldager Allé 73
3353 Herlev"
"Hr Karsten Krogh","Vibevej 3
9924 Gandrup"
"Dr. Tim Jessen","Ekvipagemesterstræde 4
2193 Ulfborg"
"Catrine Møller-Olsen","Sorøvej 6
2168 Brønshøj"
"Anders Lind","Gunhildsvej 760
1053 Sæby"
"Nadia Mikkelsen","Gerbrandsstræde 28
7324 Vandel"
"Åge Nørgaard","Vestre Kirkegårdsvej 80
9558 Rødvig Stevns"
"Aage Svendsen-Paulsen","Kors Allé 1
3566 Kirke Såby"
"Prof. Sys Skov","Morsøgade 192
6234 Helsingør"
"Sonny Kristoffersen-Lauridsen","Cumberlandsgade 70
9421 Ryslinge"
"Aksel Mikkelsen","Sonnerup Allé 63
7028 Sjællands Odde"
"Regitse Andreasen-Schou","Marstalsgade 459
2531 Vordingborg"
"Brian Johansen","Haraldsgade 671
7582 Risskov"
"Jesper Mikkelsen","Engelstedsvej 6
5997 Dybvad"
"Rita Johnsen","Tulipanvej 8
8583 Odense"
"Øivind Kristiansen","Kongsdalgade 994
4434 Storvorde"
"Prof. Claus Lund","Ravnsborggade 8
5495 Oksbøl"
"Arne Ravn","Reykjaviksvej 5
2021 Bække"
"Xenia Jepsen-Steffensen","Cyperns Allé 4
2910 Borre"
"André Vestergaard-Jeppesen","Fengersvej 859
6553 Tarm"
"Albert Iversen","Emdrup Kærgade 7
4983 Rudkøbing"
"Laura Bruun-Mortensen","Bjelkesvej 929
5149 Vejen"
"Øivind Johansen","Vestmannastræde 6
8631 Karlslunde"
"Dennis Frederiksen","Fyrbødervej 4
8974 Engesvang"
"Christine Thygesen","Hammershus Allé 8
1365 Hjørring"
"Johannes Overgaard","Tikøbvej 36
1266 Skive"
"Birte Karlsen","Torbenfeldtgade 9
3482 Augustenborg"
"Tejs Bertelsen","Dortheagade 499
9726 Kolind"
"Prof. Marius Vestergaard","Glentegade 89
9230 Fårvang"
"Joan Dahl","Pasteursgade 54
1349 Thyholm"
"Albert Mogensen","Rebekka Allé 4
1611 Espergærde"
